matrix_size,block_size,architecture,I1_misses,D1mr,D1mw,walltime
32,32,x86_64,2381,1621,832,0.038549
64,32,x86_64,2381,1627,1610,0.034085
64,64,x86_64,1414,1071,818,0.014869
128,64,x86_64,1416,1095,2346,0.034621
128,128,x86_64,875,725,1173,0.090358
256,128,x86_64,870,820,4164,0.246301
256,256,x86_64,538,586,2028,0.308067
512,256,x86_64,534,263703,8100,1.03114
