matrix_size,block_size,architecture,I1_misses,D1mr,D1mw,walltime
32,32,riscv64,1574,1852,1137,0.013776
64,32,riscv64,1575,1852,1921,0.032193
64,64,riscv64,937,1123,998,0.023246
128,64,riscv64,936,1123,2550,0.066392
128,128,riscv64,568,702,1291,0.099221
256,128,riscv64,562,699,4378,0.448659
256,256,riscv64,354,446,2200,0.47854
512,256,riscv64,351,263176,8396,3.542997
